What is the fundamental digital component used to store a single bit of binary data?,A flip-flop.
What specific binary values can be stored in a single flip-flop?,The binary values 1 or 0.
How are flip-flops typically connected to form a device that stores multiple bits of data?,They are connected in series.
What is the name of the device used to store multiple bits of binary data using a group of flip-flops?,A Register.
How many flip-flops are required to store a total of $n$ bits of data?,$n$ flip-flops.
Which specific type of register allows stored bits to move within and in or out of the device?,A shift register.
What must be applied to a shift register to make bits move within or out of the device?,Clock pulses.
How is an $n$-bit shift register formed in terms of component quantity?,By connecting $n$ flip-flops together.
List the four main types of shift registers based on their input and output configurations.,"SISO, SIPO, PISO, and PIPO."
What does the acronym 'SISO' stand for in digital electronics?,Serial-In Serial-Out.
Define 'serial input' as it relates to a SISO shift register.,One bit is entered after the other through a single data line.
How does data leave a Serial-In Serial-Out (SISO) shift register?,One bit at a time in a serial pattern.
"In a SISO shift register logic circuit, how many outputs are available for the data to leave?",Only one output.
Which type of flip-flops are used in the serial-in serial-out shift register example?,D flip-flops.
"In the provided SISO circuit example, how many D flip-flops are connected together?",Four D flip-flops.
Why are the flip-flops in a SISO register considered synchronous with each other?,The same clock signal is applied to every flip-flop.
"In a shift right register, from which side does the serial data input typically enter the first flip-flop?",The left side.
What is the primary functional use of a Serial-In Serial-Out (SISO) shift register?,To act as a delay element.
What does the acronym 'SIPO' stand for?,Serial-In Parallel-Out.
A shift register that accepts data one bit at a time but produces all bits simultaneously is called a _____.,Serial-In Parallel-Out (SIPO) shift register.
"In the SIPO circuit example, which signal is used in addition to the clock to reset the flip-flops?",The clear ($CLR$) signal.
Where is the output of the first flip-flop connected in a SIPO shift register circuit?,To the input of the next flip-flop.
What is the main application of a SIPO register regarding data conversion?,To convert serial data into parallel data.
Why are SIPO registers used in communication lines?,To facilitate the demultiplexing of a data line into several parallel lines.
What does the acronym 'PISO' stand for?,Parallel-In Serial-Out.
"In a Parallel-In Serial-Out (PISO) register, how is data given to each flip-flop?",Separately and in a simultaneous manner.
How is the serial output produced in a PISO shift register?,One bit at a time from the final flip-flop in the chain.
"In a PISO circuit, through what component is the input data connected individually to each flip-flop?",A multiplexer (MUX).
