What is the primary function of an electrical or electromagnetic signal in data communications?,Carrying data from one device or network to another.
"According to the source, a signal is composed of which two basic parts?",Baseband signal (information) and carrier signal.
Which process combines the baseband information with a carrier signal?,Modulation.
How is an analogue signal defined in terms of its amplitude range?,The amplitude takes any value within a continuous range.
What geometric wave shape is typically used to represent an analogue signal?,Sine wave.
"In the analogue signal function $x(t) = A \sin(2\pi ft + \phi)$, what does the variable $A$ represent?",The amplitude (height of the wave).
"In the analogue signal function $x(t) = A \sin(2\pi ft + \phi)$, what does the variable $f$ represent?",Frequency (cycles per second).
"In the analogue signal function $x(t) = A \sin(2\pi ft + \phi)$, what does the symbol $\phi$ represent?",Phase shift.
What is the standard unit of measurement for frequency ($f$)?,Hertz ($Hz$).
How does a digital signal differ from an analogue signal regarding amplitude values?,Digital signals take only a limited number of discrete values.
What wave shape is commonly used to represent digital signals?,Square wave (or clock signal).
"In a standard 5V digital system, what voltage represents a binary 0?",$0$ volts.
Why are digital signals considered superior to analogue signals regarding noise?,They are less subject to noise and more stable.
Which type of signal is typically easier to troubleshoot?,Digital signal.
What occurs during a 'transmission impairment'?,The received signal becomes different from the transmitted signal.
List the four main causes of transmission impairment identified in the text.,"Dispersion, Noise, Distortion, and Attenuation."
What is the physical effect of dispersion as a signal travels through a medium?,The signal tends to spread and overlap.
How is 'noise' defined in the context of signal transmission?,Unwanted or random signals that interfere with the original transmitted signal.
What are two common physical solutions for reducing noise in cables?,Shielded cables and proper grounding.
What causes distortion in a composite signal?,Unequal delay or attenuation of different frequency components.
Which device is used to correct signal distortion by compensating for propagation delays?,Equalisers.
What is the definition of 'attenuation' in telecommunications?,The loss of signal energy as it travels through a medium.
Which device is used to restore the strength of an attenuated signal?,Amplifiers.
What unit is used to measure attenuation?,Decibels ($dB$).
State the formula for calculating attenuation in decibels based on power levels $P_1$ and $P_2$.,$Attenuation(dB) = 10 \log_{10}(P_2/P_1)$.
What term refers to the maximum speed at which data is transferred over a channel?,Data rate.
Identify the three main factors that govern the data rate of a channel.,"Available bandwidth, number of signal levels, and channel quality (noise)."
Which theoretical formula is used to calculate the bit rate for a noiseless channel?,Nyquist Bit Rate.
Which theoretical formula is used to calculate capacity for a noisy channel?,Shannon’s Capacity.
Define the function of a 'Modem'.,A device that performs both modulation and demodulation processes.
What is the primary purpose of modulation at the transmitting end?,To convert digital signals into analogue signals for transmission.
What is the primary purpose of demodulation at the receiving end?,To extract the original information (digital) from the modulated analogue carrier.
"In analogue modulation, what is 'Amplitude Modulation' ($AM$)?",Varying the carrier's instantaneous amplitude based on the message signal's amplitude.
What is the main advantage of 'Frequency Modulation' ($FM$) over $AM$?,It does not catch channel noise during modulation and demodulation.
Which analogue modulation technique is most common in satellite communication?,Phase Modulation ($PM$).
How does 'Amplitude Shift Keying' ($ASK$) represent a binary 0?,By the absence of the carrier signal (zero amplitude).
"In 'Frequency Shift Keying' ($FSK$), how are binary 1s and 0s distinguished?",By using two different predefined carrier frequencies.
What special case of $PSK$ allows two bits of information to be sent simultaneously?,Quadrature Phase Shift Keying ($QPSK$).
Which method is most commonly used to convert analogue data into digital form?,Pulse Code Modulation ($PCM$).
List the three sequential steps of Pulse Code Modulation ($PCM$).,"Sampling, Quantisation, and Encoding."
"According to the Nyquist Theorem, what is the minimum required sampling rate?",At least two times the highest frequency of the analogue signal.
What happens during the 'Quantisation' step of $PCM$?,Instantaneous analogue values are approximated into discrete patterns.
Define 'Line Coding'.,The process of converting digital data (binary) into digital signals (voltage pulses).
"In Unipolar-Non-return-to-zero ($NRZ$) encoding, how is a binary 1 represented?",By a high voltage (+V).
How does Polar $NRZ-L$ differ from Polar $NRZ-I$ regarding bit encounters?,"$NRZ-L$ changes voltage when a different bit is encountered, while $NRZ-I$ changes when a 1 is encountered."
What is the main weakness of $NRZ$ encoding regarding synchronisation?,The receiver cannot tell where one bit ends and the next begins if clocks are not synchronised.
How many voltage levels are used in 'Return to Zero' ($RZ$) encoding?,"Three (positive, negative, and zero)."
Where does the signal transition occur in Manchester encoding?,In the middle of the bit time.
How is a binary 0 represented in 'Bipolar encoding'?,By zero voltage ($0V$).
What happens to the representation of binary 1s in Bipolar/Alternative Mark Inversion signalling?,They alternate between positive (+V) and negative (-V) voltages.
What is the primary purpose of 'Block Coding'?,To add redundant bits for error detection and accuracy.
"In the block coding notation $mB/nB$, what is the relationship between $m$ and $n$?",$n$ must be greater than $m$.
Define 'Multiplexing'.,Simultaneously transmitting multiple signals across a single data link.
What is the efficiency goal of 'Multiplexing'?,Combining several channels into one to share the link's high bandwidth.
How does 'Time Division Multiplexing' ($TDM$) divide the transmission channel?,By allocating non-overlapping time slots to different sources.
How does 'Frequency Division Multiplexing' ($FDM$) divide the transmission channel?,By allocating different frequency bands to each data stream.
Which device is used at the receiving end to separate a composite multiplexed signal?,Demultiplexer ($DEMUX$).
What is the specific application of 'Wavelength Division Multiplexing' ($WDM$)?,Combining optical signals (light sources) in fibre-optic cables.
Which physical component is often used to handle the combining and splitting of light in $WDM$?,A prism.
The telephone network originally used which type of switching?,Circuit switching.
Identify the three major components of a telephone network.,"Local loops, Trunks, and Switching Offices."
What is a 'Local Loop' in a telephone network?,A twisted pair cable connecting a subscriber's phone to the nearest end office.
What is the standard bandwidth of a telephone local loop for voice purposes?,$4000 Hz$.
What is the role of 'Trunks' in telephone networks?,Transmission media used to handle communication between switching offices.
"In a mobile network, what is the 'Base Transceiver Station' ($BTS$)?",The antenna and tower equipment that provides the access point for mobile phones.
Which mobile network component is responsible for frequency administration and handovers between $BTS$s?,Base Station Controller ($BSC$).
What is the 'heart' of the $GSM$ mobile network that handles call routing?,Mobile Switching Centre ($MSC$).
What is the difference between 'Guided' and 'Unguided' transmission media?,"Guided media use physical conductors (wires), while unguided media use free space (wireless)."
Why are the wires in a twisted pair cable twisted together?,To reduce noise interference and crosstalk.
What is the primary difference between $UTP$ and $STP$ cables?,"$STP$ has a metal foil or braid-mesh shield, whereas $UTP$ does not."
List three major advantages of using fibre-optic cables.,"Large bandwidth, small size/light weight, and immunity to electromagnetic interference."
How does light propagate in 'Multimode Graded-index' fibre?,Through varying core density that gradually reduces distortion by curving the light rays.
Which wireless propagation method hugs the curvature of the earth using low frequencies?,Ground propagation.
Which wireless propagation method reflects signals off the ionosphere?,Sky propagation.
What is a requirement for 'Line-of-sight' ($LOS$) radio propagation?,Directional antennas must face each other directly in a straight line.
How is data typically represented internally in computers?,As a series of binary digits (1s and 0s).
Which component of the mobile network is uniquely identified by an $IMEI$ number?,Mobile Equipment ($ME$).
What does $POTS$ stand for in the context of telephone networks?,Plain Old Telephone System.
Which multiplexing technique is considered digital?,Time Division Multiplexing ($TDM$).
Which multiplexing technique is considered analogue and uses Hertz ($Hz$) as its basis?,Frequency Division Multiplexing ($FDM$).
