What are the four primary types of Storage Classes in C programming?,"A: 

• auto (Automatic): The default class for local variables, stored in main memory with a 'garbage' default value.
• register: Requests storage in CPU internal registers for faster access; the address operator ( $ \& $ ) cannot be used.
• static: Variables stored in main memory that persist for the entire program execution and default to zero.
• extern (External): Declares a global variable defined in another file, visible to all program files."
Explain the characteristics of the 'static' storage class.,"A: 

• The variable is stored in the main memory and initialises with a default value of zero.
• Its scope is local to the block where it is declared, but its lifetime extends to the entire program execution.
• The value of the variable is preserved between multiple function calls rather than being destroyed.
• It is ideal for maintaining state across function invocations without using global variables."
Compare and contrast local and global variables in terms of scope and lifetime.,"A: 

• Local variables are declared inside a block and are accessible only within that specific region.
• Global variables are declared outside all functions and possess a global scope accessible throughout the program.
• Local variables are created when a block is invoked and removed when it terminates.
• Global variables remain in memory throughout the entire execution of the program."
Explain the precedence rule when a local and global variable share the same name.,"A: 

• The local variable takes precedence over the global variable within its specific block of declaration.
• Any reference to the variable name inside that block will access the local instance.
• The global variable becomes 'hidden' or 'shadowed' until the local block's execution is completed.
• This allows programmers to reuse names within functions without accidentally modifying global state."
What are the primary reasons for using Dynamic Memory Allocation (DMA) in C?,"A: 

• It allows memory to be allocated at runtime based on real-time requirements or user input.
• It improves memory efficiency by allowing the programmer to release memory using $ free() $ when it is no longer needed.
• It enables the creation of complex data structures that grow or shrink, such as linked lists and trees.
• It prevents memory wastage associated with static arrays where the size must be fixed at compile-time."
Describe the function and behaviour of the $ malloc() $ library function.,"A: 

• It allocates a requested number of contiguous bytes in the heap memory during program execution.
• It returns a $ void $ pointer to the starting address of the allocated block, which requires typecasting.
• If the system fails to allocate the requested memory, the function returns a $ NULL $ pointer.
• It uses the $ sizeof() $ operator to determine the exact byte requirements for the specific data type being allocated."
What is the importance of the $ free() $ function in dynamic memory management?,"A: 

• It is used to manually de-allocate memory that was previously reserved using functions like $ malloc() $.
• It returns the released memory block to the operating system for use by other processes.
• Unlike static variables, dynamically allocated memory is not automatically cleared by the compiler.
• Failing to use $ free() $ results in memory leaks, which can eventually exhaust the system's available memory."
Explain the purpose and execution flow of a 'switch' statement.,"A: 

• It serves as a decision-making control structure that tests an expression against a list of unique case labels.
• It provides a cleaner and more readable alternative to complex, deeply nested if-else chains.
• Once a match is found, the block of statements associated with that specific case is executed.
• If no match is found, the optional 'default' case is executed to handle unexpected values."
What are the specific requirements for 'case' labels within a switch statement?,"A: 

• Every case label must be unique within a single switch block to avoid ambiguity.
• Labels must be constants or constant expressions, typically restricted to integers or characters.
• Each label must conclude with a colon ( : ) to separate the value from the associated code block.
• Labels cannot be variables or ranges (in standard C) as they must be evaluatable at compile time."
Explain the role of the 'break' statement in a switch structure.,"A: 

• It signals the end of a specific case block and causes the program to exit the switch statement immediately.
• It transfers control to the next line of code located outside the switch's closing brace.
• Without a 'break', the program will 'fall through' and execute subsequent case blocks regardless of their labels.
• It is crucial for ensuring that only the matched case's logic is processed by the CPU."
