What is the definition of a computer network?,A collection of interconnected computers and devices that share resources and facilitate communication.
"In networking, what is a 'communications protocol'?",A system of rules that governs how information is transmitted over physical or wireless technologies.
"Which network service is typically associated with the protocols POP, IMAP, and SMTP?",Email services.
"Which network service uses protocols such as Telnet, SSH, and RDP?",Remote access (Terminal services).
What are the five components of a data communications system?,"Message, Sender, Receiver, Medium, and Protocol."
Term: Message,"The specific information or data to be communicated, such as text, audio, or video."
What is a 'Sender' in a data communication system?,The device that initiates and sends the data message.
Definition: Transmission Medium,"The physical path, such as fibre-optic cable or radio waves, through which a message travels."
Why is a protocol necessary for two connected devices to communicate?,It provides a common agreement on the rules of communication so devices can understand each other.
What does the advantage 'Central Storage of Data' allow in an organisation?,Files can be stored on a single file server and shared with every user in the network.
How do computer networks facilitate faster problem-solving?,Extensive procedures are disintegrated into smaller processes handled by multiple associated devices.
"In the 'RISHI' mnemonic for network advantages, what does the 'R' stand for?",Reliability.
How does a computer network improve 'Reliability' regarding data?,"It allows for backing up information so if one PC crashes, a copy is available on another workstation."
How do networks enhance 'Cost Efficiency' for expensive software?,High-cost software can be installed on a central server and used by multiple workstations online.
What is the primary security risk of connecting a standalone computer to a network?,Hackers can gain unauthorised access remotely using various tools.
Why is the 'Rapid Spread of Computer Viruses' considered a disadvantage of networking?,"If one system is affected, the virus can quickly spread to all other interconnected systems."
What is a major disadvantage regarding the central file server in a network?,"The entire network depends on it; if it malfunctions, the network may stop functioning."
"Which network criterion is measured by transit time, response time, and throughput?",Performance.
How is 'Reliability' measured as a network criterion?,"By the frequency of failure, recovery time from a link failure, and robustness during catastrophes."
What does 'Security' involve in the context of network criteria?,"Protecting data from unauthorised access and damage, and implementing recovery policies."
Describe the 'Simplex' data flow mode.,"Communication is unidirectional, where one device only transmits and the other only receives."
Describe the 'Half-duplex' data flow mode.,"Both stations can transmit and receive, but only one at a time, not simultaneously."
Describe the 'Full-duplex' data flow mode.,Both stations can transmit and receive data simultaneously.
Which organisation created the OSI reference model in $1994$?,The International Organisation for Standardisation (ISO).
What is the primary purpose of the OSI model?,To provide a framework for creating networking standards and describing communication functions.
How many layers are in the OSI reference model?,$7$ layers.
List the seven layers of the OSI model in order from top to bottom.,"Application, Presentation, Session, Transport, Network, Data Link, Physical."
What is the primary responsibility of the OSI Application Layer?,"Providing network services, such as email or web access, directly to the user."
Which protocol is used specifically for terminal emulation to access remote server resources?,TELNET.
What is the function of the File Transfer Protocol (FTP)?,It allows for the actual transfer of files between systems.
