Outline the step-by-step communication flow between a client and a server during an HTTP request.,"- The user types a URL into the browser, which then checks the DNS to obtain the server's IP address.
- The browser opens a TCP connection to the server and sends an HTTP request containing the method (GET/POST), resource path, and version.
- The web server receives the request and processes it, either fetching static files or running server-side scripts for dynamic content.
- The server sends an HTTP response containing a status code (e.g., 200, 404), headers, and the response body (HTML/JSON/Image).
- The browser receives the response, renders the output for the user, and the connection is either closed or reused for further requests."
What are the core characteristics of the HTTP protocol used in web technology?,"- It is stateless, meaning each request is independent and the server does not retain information about previous requests from the same client.
- It is connectionless, typically ending the connection after a response is sent to the client.
- It is media independent, allowing the transfer of various data types including text, images, video, and audio.
- It operates on default ports, specifically port $80$ for standard HTTP and port $443$ for secure HTTPS communication."
Compare and contrast Static Web Pages and Dynamic Web Pages across at least four distinct features.,"- Static pages display fixed content to every user, whereas dynamic pages change content per request based on logic or user data.
- Static pages involve no server-side logic or processing, while dynamic pages require server-side scripts to generate content.
- Databases are not used in static web pages, but they are essential in dynamic pages for storing and retrieving information.
- Updates to static pages require manual file editing by a developer, while dynamic pages update automatically via database changes."
Explain the primary benefits of using Dynamic Web Pages over Static Web Pages for modern applications.,"- They allow for highly personalised content, showing different output and user-specific data for each individual.
- They facilitate real-time updates where content changes instantly without the need to manually edit HTML files.
- They offer superior scalability and maintenance, where one update to the database or template can reflect across thousands of pages.
- They support advanced functionality such as login systems, search features, and interactive dashboards essential for e-commerce and social media."
Describe the key differences between Client-Side Scripting and Server-Side Scripting regarding execution and security.,"- Client-side scripts run on the user's browser (e.g., Chrome or Firefox), whereas server-side scripts run on the web server machine.
- Code is visible to the user in client-side scripting, making it less secure, while server-side code is hidden from the user, providing better security.
- Client-side scripting cannot access the server's database directly, whereas server-side scripting has full database access and management capabilities.
- Client-side scripting relies on the processing power of the user's device, while server-side scripting is independent of the user's hardware."
Provide a justification for why HTML is not considered a programming language.,"- It lacks logic and decision-making capabilities, as it cannot use conditional statements like 'if', 'else', or 'switch'.
- It does not support loops or iteration, meaning it cannot repeat actions through structures like 'for' or 'while'.
- It cannot store or manipulate data because it has no support for variables, memory handling, or mathematical calculations.
- It is a markup language used to structure and display content through tags, rather than a Turing-complete language used to solve computational problems."
Define JavaScript Objects and explain the roles of properties and methods within them.,"- A JavaScript object is a collection of related data and functions that represent a real-world entity as a single unit.
- Properties are key-value pairs that store data or characteristics of the object, such as a student's 'name' or 'age'.
- Methods are functions defined inside the object that describe its behaviour, such as a 'calculate()' or 'start()' action.
- Methods can access and manipulate the object's own properties by using the 'this' keyword within the function block."
"Discuss the differences between HTML, XHTML, and HTML5 regarding structure and multimedia support.","- HTML is based on SGML and is flexible with tag closing and case sensitivity, whereas XHTML follows strict XML rules and requires lowercase, closed tags.
- HTML and XHTML often require third-party plugins (like Flash) for multimedia, while HTML5 has built-in support for audio and video elements.
- HTML5 introduced semantic tags (like `<header>`, `<footer>`, and `<article>`) to improve document structure and search engine optimisation.
- HTML5 supports modern APIs such as Geolocation and Local Storage, which were not available in older versions of HTML or XHTML."
What is cross-browser scripting and what are some common techniques used to achieve it?,"- Cross-browser scripting is the practice of writing code that ensures a website functions and displays consistently across all different web browsers.
- It is necessary because different browsers use different rendering engines, such as Blink for Chrome and Gecko for Firefox, which may interpret code differently.
- Developers use vendor prefixes (e.g., `-webkit-` or `-moz-`) to ensure newer CSS features work across different browser environments.
- Techniques like 'CSS Resets' are used to remove default browser styles, and 'Feature Detection' checks for browser support before executing specific JavaScript functions."
Explain the purpose and categories of CSS properties in web design.,"- The main purpose of CSS properties is to define the visual appearance and layout of HTML elements independently of the content structure.
- Text properties like `color`, `font-size`, and `text-align` control the typography and legibility of the page content.
- Box Model properties such as `margin`, `padding`, `width`, and `height` manage the spacing and sizing of elements on the screen.
- Layout and Display properties like `position`, `display`, and `float` determine how elements are positioned relative to each other in the browser window."
Define jQuery and list its most significant features for web developers.,"- jQuery is a fast, lightweight JavaScript library designed to simplify common tasks through its motto 'Write Less, Do More'.
- It makes DOM manipulation and HTML element selection much easier by using simple CSS-style selectors.
- It simplifies event handling and the creation of animations or effects with fewer lines of code compared to standard JavaScript.
- It provides built-in cross-browser compatibility and simplifies complex AJAX operations for exchanging data with a server."
What is JSON and what are the specific structural rules for writing it?,"- JSON (JavaScript Object Notation) is a lightweight, text-based data-interchange format that is easy for humans to read and machines to parse.
- Data must be written in key-value pairs, where the keys are always strings enclosed in double quotes.
- It uses curly braces `{}` to define objects and square brackets `[]` to define arrays of data.
- Values within JSON can be strings, numbers, booleans, arrays, or other objects, and multiple data entries must be separated by commas."
Describe the process of Garbage Collection in the context of JavaScript memory management.,"- Garbage collection is an automatic process managed by the JavaScript engine to free up memory occupied by objects that are no longer in use.
- Memory is allocated when objects are created or variables are declared, and it is reclaimed when those items are no longer reachable.
- Reachability is determined by whether an object can be accessed from the global scope or the current function execution context.
- The 'Mark-and-Sweep' algorithm is commonly used to identify unreachable objects and remove them from the heap memory to prevent memory leaks."
Outline the theoretical structure and general flow of a PHP program.,"- A PHP program is written inside specific tags (`<?php ... ?>`) and is typically embedded directly within HTML content.
- PHP files must be saved with a `.php` extension to be correctly identified and processed by the web server.
- The code is executed on the server-side, and only the resulting HTML output is sent to the user's web browser.
- The flow involves starting the PHP block, declaring variables (starting with `$`), performing logic or database operations, and using `echo` or `print` to generate output."
Explain the essential steps involved in establishing database connectivity within a web application.,"- The application must first load the appropriate database driver (e.g., JDBC or MySQLi) to communicate with the specific database server.
- A connection must be established using a connection string that contains the server address, database name, username, and password.
- SQL queries are sent from the application to the database server, which processes the request (e.g., SELECT, INSERT, UPDATE).
- The application receives the result from the database, handles any data retrieved, and finally closes the connection to free up resources."
